treatment,conversion,active_days,gender,age,time_spent_in_app,used_discount,used_bogo,channel_Web,channel_phone,hours_listening,yandex_pay_balance
treatment1,0,17.1295575330586,0,28,0,0,0,1,0,13.43334896769441,5895.506934350362
treatment1,0,19.868278462890977,1,33,0,1,0,0,0,5.170092581382082,5017.876299830353
treatment1,0,23.187434606350948,0,41,0,0,0,1,0,7.6471628328574015,4149.3424035622575
control,0,7.482319151005837,1,34,2,0,1,0,0,10.071664380201678,4250.690657366286
control,0,12.05704822503574,1,50,1,1,1,1,0,8.198907132145548,4873.498737930889
treatment1,0,24.577364151523287,1,38,1,1,0,0,0,11.75502101223568,5844.8858106955395
treatment1,1,21.88221324514156,0,37,4,0,0,1,0,10.647041715337082,4396.493976641404
treatment1,1,25.968583717397443,0,46,0,1,1,0,0,10.037146658013796,5948.833581810673
control,1,6.676465950250013,1,41,1,1,0,0,1,12.128257490772643,6455.492921204507
control,1,10.646242094514074,0,39,0,0,0,0,0,9.487259751633957,3918.6925665081135
treatment1,1,25.408463612608482,0,44,0,0,0,1,0,8.671632784577506,4486.26261553741
control,0,5.771483976530844,0,51,1,1,1,0,0,8.634848457066045,5021.353308705574
treatment1,0,23.343023420772518,1,50,0,1,1,1,0,10.024791312301932,6207.26691565341
treatment1,0,31.914676985345608,1,30,2,0,0,1,0,7.376031799172743,4402.3493592055265
control,1,9.446423118500157,1,56,0,1,0,0,1,11.233712047064214,8453.973440154547
control,1,9.693184859938153,1,45,1,1,0,0,1,6.862718435775941,5363.380945551236
treatment1,1,28.28961678733901,1,45,2,0,0,1,0,9.729268972854051,4540.692267227554
treatment1,0,26.793183527206516,0,38,1,1,1,1,0,7.446821502546018,5720.19608012611
control,0,5.9474759555509245,0,41,0,1,0,0,0,8.406987133157813,4811.066107010977
control,0,5.3272339549174745,1,45,3,1,0,1,1,11.17444465790882,5809.077191984124
treatment1,0,19.292320144670864,1,52,0,1,0,0,0,9.236470362403706,5208.592796813189
treatment1,1,26.050097995696422,1,32,0,0,0,1,0,10.854748608841192,3651.4535309575595
treatment1,1,18.5066553776851,0,33,1,0,0,1,0,8.960818329927097,4840.724783433257
control,1,10.273069955971303,0,32,2,0,1,1,0,12.671331638898435,3468.7934590175355
control,0,7.336587212984877,1,33,1,1,0,0,1,8.546950314735698,5042.5087614429485
treatment1,0,23.26117747950466,0,50,2,1,0,1,0,10.919538074225919,5560.505968489312
control,0,5.224222358487911,0,51,1,0,0,1,0,7.227674585311576,4341.180587094228
treatment1,0,14.620484570064805,0,44,1,0,1,0,0,10.757724203231056,4649.864281605979
control,1,1.6098970536838713,1,46,0,1,1,0,0,7.695038458946122,5065.397325838794
treatment1,0,25.994996206305224,0,48,1,1,0,0,1,8.136564201773911,4718.093239811427
treatment1,0,26.833071245305945,0,39,1,1,1,0,1,9.797213998467713,5195.444734003028
treatment1,0,28.53814923062298,1,30,2,1,0,0,0,8.377016476609132,4801.358703848454
control,0,13.01622738503506,0,41,3,0,0,0,0,11.531386961380745,5435.41868061041
control,1,11.451047642499134,1,33,0,0,0,0,0,9.330137412482527,2983.743377684952
control,1,8.182214701854214,0,37,0,0,1,0,1,10.176018629593344,2300.6412769938806
control,1,6.419804063399802,0,33,4,0,0,1,0,10.023235662700142,3949.9699319307633
treatment1,0,17.31909034844284,0,33,1,1,0,0,0,9.071855122638919,4904.113222501428
control,0,5.978819333204705,1,49,1,0,0,0,1,8.463024726215302,4211.732916872109
treatment1,1,24.669675623761503,0,41,0,0,0,1,0,10.405456759397659,4891.673616512851
control,0,9.388023927974515,1,45,3,0,0,0,0,9.679894483545473,3574.8630624321368
treatment1,0,28.374830488755713,1,29,1,1,0,0,1,7.885290956865797,5710.567953194517
treatment1,0,21.265209331810905,0,32,3,0,1,1,0,10.913855374363733,4797.681548611568
control,0,4.561905162928995,1,27,2,0,0,0,0,14.700720412720806,5891.390995270263
control,0,6.148587582717378,1,55,0,0,0,0,0,10.256241700394968,4903.84926565356
control,1,7.745351109464358,1,41,1,0,1,1,0,10.818768857879814,5116.3372549072365
treatment1,1,21.68070769593418,1,49,1,1,0,0,0,6.829707422620888,6070.786145730119
treatment1,1,25.228780191634446,0,46,2,1,1,0,0,10.172503902937343,6456.9723270777995
treatment1,0,23.023622687468485,0,38,1,1,0,0,1,15.304317380960782,7469.829532422122
treatment1,0,18.213834086181855,0,23,2,1,0,0,0,8.211291759101035,5402.202201050455
treatment1,0,15.420530164473215,0,57,1,1,0,1,1,10.478632424760693,5489.049085212715
control,1,12.058421378345942,0,37,0,0,0,0,0,9.136102563371766,4685.66335383364
treatment1,1,17.49037307862299,1,40,2,0,0,0,1,8.64141339285068,4216.693812074721
treatment1,0,20.275693580509085,1,30,2,1,0,0,1,6.119010989649068,4454.721973187497
treatment1,1,25.48877130879127,1,47,0,1,1,0,0,10.857392099915913,5752.875845370023
control,1,10.181323377985265,1,46,1,1,0,1,0,9.446373141015723,5817.180490413249
control,0,10.654545094929517,1,43,2,1,1,0,1,13.707121844570139,6706.096956361505
treatment1,0,20.620832759860892,0,32,1,0,0,1,0,9.39577208623511,4477.969636368815
control,1,7.562286144367316,0,33,2,0,0,0,0,10.127863592577071,4193.862467720693
control,0,11.55660131759949,1,40,0,0,0,0,1,5.272184790018276,3689.403955786231
control,0,9.556054780036172,0,52,0,0,1,0,1,12.454662046270162,4971.624064534872
treatment1,1,14.243469874936512,0,34,0,0,1,0,1,8.754716035974978,4004.427838534236
control,1,3.903074823035979,0,40,0,0,0,0,0,7.6318645851915345,3909.976305655175
treatment1,0,19.993498048075107,0,41,0,0,0,1,0,9.295491044640173,4480.233332280134
treatment1,0,19.824032521942538,0,51,0,1,0,1,0,10.371358922703322,5994.63900339732
treatment1,0,20.399432281536242,1,30,1,0,0,1,1,7.823128344406136,3729.625890628896
treatment1,1,29.840063015744793,0,54,2,1,0,1,0,3.989096579108757,5709.699752009291
control,0,8.4441313967957,1,34,1,1,0,0,0,11.311263388241812,6071.759532195478
treatment1,0,15.7575482304423,0,51,3,1,1,0,0,11.11390576900213,5441.4682248875615
control,0,6.329524934002638,0,35,0,0,0,0,0,10.150006309810902,4398.064497249324
treatment1,0,20.887610856673255,0,57,1,0,0,0,0,11.517230054856446,4839.167471410124
treatment1,1,25.583012158471586,1,38,0,1,1,1,0,12.293192672883947,5901.850151896384
control,0,2.9239577582556797,0,38,1,0,1,0,0,7.27600369873568,3529.9593424550285
treatment1,0,21.26142575086201,0,43,1,1,0,1,1,5.013788812674981,4528.125543938455
treatment1,1,30.572628264281008,0,45,1,1,0,0,0,9.638743771959998,5207.856736532002
control,0,8.15564626240871,0,41,3,0,0,0,0,6.806175110043178,3621.957022969222
control,1,7.941430793506518,0,40,1,1,1,1,0,4.454981181060914,4113.544223913606
control,0,3.235779789047947,0,41,1,0,0,1,0,9.127074247362346,4715.88435445567
treatment1,0,19.192129028994678,1,31,0,1,0,0,0,10.182600291075108,6682.119359218044
control,1,11.110956645870884,1,48,2,1,1,0,0,10.705242798734819,6466.561789773149
control,1,6.192046399102705,0,50,0,1,1,0,1,10.427091604494546,7397.876378207955
control,0,-0.599692294655505,0,49,0,0,0,0,0,9.900852544961497,4871.255169400467
treatment1,1,18.811802890801435,1,32,1,0,0,0,1,10.294498378775582,3880.52855055785
treatment1,1,17.938641058852635,0,49,0,1,0,1,0,7.756507803341211,6805.134345129479
control,0,8.51155548817785,0,23,3,0,1,1,0,8.58882607243344,4141.522166329264
treatment1,1,28.59177904513892,0,43,3,1,0,0,0,10.814092845540959,6255.169651500629
treatment1,1,20.61590761441129,1,50,1,1,0,1,0,8.30886972453284,6812.594545489016
control,0,11.926555227584766,1,30,4,1,0,0,1,11.774771748407588,6251.898017766284
treatment1,0,25.308626858614787,0,39,2,1,0,0,0,9.500036899795326,5689.855248505647
control,0,11.402159494083861,0,31,0,0,0,0,0,9.919337556557451,4949.2694354065225
control,1,6.493930220831462,0,38,0,0,0,0,1,12.12539366533765,5416.32472104973
control,0,7.422003951185527,1,34,0,0,0,0,0,10.716660580101502,5193.021928736083
control,1,10.014708321953087,1,44,0,1,1,0,1,8.458196837793409,5448.834919893155
treatment1,1,26.34161290781906,1,46,1,1,1,0,0,9.058481805866446,6716.67057541713
control,0,6.849773776531088,0,33,1,0,0,1,0,4.604546420017878,3629.8342798258973
control,1,4.827879975431779,1,32,3,0,0,0,1,10.182510024815683,2931.8128692639357
treatment1,0,25.249860633779846,1,46,0,1,1,1,0,7.156565664011501,5366.568990247769
control,0,7.665764642819574,0,38,2,0,0,0,1,8.563377668854269,4003.0181436794487
control,0,8.51607631327374,1,36,0,1,1,0,0,11.81303597592848,5980.30205585544
treatment1,0,23.754937653140736,0,43,3,0,0,1,1,9.362642175926588,4346.220505798039
treatment1,0,26.757377058357243,1,34,0,1,0,0,0,9.278843282920512,6404.519959411707
treatment1,1,28.099052111017375,1,31,2,0,0,0,1,10.996108524605726,3918.6673816772327
treatment1,1,21.188061523234467,0,41,0,1,0,0,0,12.084082346329968,5970.597753228262
treatment1,0,31.24567438793735,1,41,1,1,0,1,1,9.56386475749166,5478.66000717263
treatment1,0,23.897365066590393,1,42,0,1,0,0,0,8.373201930683077,4918.273781076038
treatment1,1,24.53328683355817,0,32,3,0,0,1,0,12.852140892223796,4528.368525245814
control,1,9.616981810752314,0,52,1,1,0,1,0,9.720895241134848,6624.042144333599
control,1,8.484621072591276,0,41,0,1,1,0,1,10.860524101155743,6087.541404311553
control,0,5.052609252930234,1,39,1,1,0,1,1,10.986029452326138,5784.00303148119
treatment1,1,26.327779486707335,1,45,0,1,0,0,0,9.815789432855034,5998.661103924197
control,0,12.951052805734795,1,42,0,0,1,0,1,8.583073353210374,4655.81772729881
treatment1,1,21.932986132858467,0,45,2,1,0,0,0,9.174278437632365,5855.162700778121
control,0,5.786798928660433,0,37,1,1,0,0,0,8.11751683380862,5107.240993951348
control,1,2.9094088996401197,0,30,1,0,0,1,0,8.484120638368575,2398.9947233848497
treatment1,0,25.948702466287173,1,53,0,0,0,0,0,8.457645534024861,4698.511226477586
treatment1,0,25.637564274475555,0,48,2,0,0,0,0,9.210755772134904,4691.439892017514
treatment1,1,30.862492169031107,1,34,1,0,0,1,0,11.01357352252207,3621.2947844012288
control,1,9.141359319256226,1,37,1,1,0,0,0,8.674829822330176,5054.00390938526
control,0,8.007926429610894,1,42,2,1,0,0,1,7.796133221160407,4737.294317525191
treatment1,1,23.864361066254975,1,39,2,0,1,1,0,10.273150793618786,4372.025366497738
treatment1,0,26.40966251118769,0,36,0,0,0,0,1,6.352234839392569,3522.7200921310964
control,1,11.676140500574105,0,53,1,1,0,1,1,9.968646437020116,6488.3881498562705
treatment1,1,24.339402804418583,0,40,2,0,0,1,0,10.376423793058702,4673.7564879374395
control,0,13.194495183043706,1,44,1,1,1,0,0,12.53835261445289,5957.365601849158
control,0,7.767630835471132,1,43,2,1,1,0,1,7.97477816544458,5899.884631881838
control,0,6.984190162383182,1,38,0,0,0,1,0,13.523100449408226,4776.004424253628
control,0,10.80081160654035,1,30,0,0,0,0,0,10.620494291770486,4405.265042493212
treatment1,0,22.66138687864844,1,40,2,0,0,0,0,13.428590105232772,5068.934239437688
treatment1,1,23.21528405378839,0,49,0,1,0,0,0,10.439404532529196,6880.303047511769
control,1,6.750634576856747,0,37,2,0,1,0,0,6.90198374675167,3944.944321440884
control,0,7.926549371064644,1,42,0,0,0,0,0,9.998165285781816,4195.867508796123
control,0,11.993352947712973,0,44,0,0,0,1,0,9.267503906499252,4488.852342574341
control,0,6.404665929553405,1,40,0,1,0,0,1,11.563561095155219,5663.125956800158
control,0,12.410371424111581,0,38,2,0,0,1,0,11.913470706616431,5269.09571857107
control,0,14.99573857543889,1,34,1,1,1,1,0,12.1614034330041,5770.0572240561905
control,0,9.908173495661432,0,33,2,1,0,0,0,13.155931915368269,6285.708758309258
control,0,6.275643293546741,1,42,0,1,1,0,0,14.819923544128049,6560.669853228414
control,1,6.462145546002795,0,40,1,1,0,0,1,11.768237685329758,5667.260671968848
control,1,9.41646477068277,0,37,2,0,0,1,0,11.05815120573598,5020.834816352325
treatment1,1,23.012181271123595,1,33,0,0,0,0,0,9.874488278454525,4294.676499635479
control,0,11.107133459583201,0,32,0,1,1,0,0,10.221012740381376,6607.831615083395
control,1,8.821483817573448,1,48,2,1,0,0,1,14.465214408466196,7695.37410498642
control,0,4.445149863980888,0,54,0,1,0,1,1,8.857482427804971,5165.4212443467
treatment1,1,28.11330290180279,0,50,2,1,1,1,1,8.462676080268057,6761.87272219873
treatment1,1,24.095287142290175,1,44,0,0,0,0,1,4.370991739205688,3502.436639896138
control,0,4.6790911327872,0,25,2,0,0,0,0,7.48044600266557,4137.2198852915835
treatment1,0,12.504856197746122,1,34,2,0,0,1,1,7.064554157393879,3392.4812834007444
control,0,10.312172661545844,1,30,0,1,1,1,0,8.691386203413487,4909.079041108933
control,0,9.75660568966023,0,57,0,0,0,1,1,7.877516045363334,3571.9447963151724
control,0,4.029315957077946,1,45,2,0,0,0,0,10.629242138767053,4461.605447373285
control,1,7.042790898087863,1,36,1,0,1,0,0,12.939376114778621,4587.299112276825
treatment1,1,18.391678562423046,1,39,0,1,0,0,0,6.604482412641265,4415.615613666521
treatment1,1,19.079733506483862,0,49,0,0,0,1,0,13.372921241835247,5876.919681383999
control,0,5.540290701472185,0,47,0,1,1,0,0,6.861471996464004,5385.583296553845
control,1,10.024262052304467,0,39,0,0,0,1,0,9.48569887111715,3685.5544438425754
control,0,5.489178753143621,0,45,0,1,0,0,1,7.876211768557746,4710.884897082719
treatment1,1,29.557652481418256,1,47,2,1,0,0,1,7.02566691134617,5136.24596974759
treatment1,0,16.668843691410995,1,34,1,1,0,1,0,5.408822239528116,4398.219970894741
treatment1,0,19.35573214453971,1,37,0,1,0,1,0,9.599326146509377,5066.648415825917
treatment1,0,15.320890124770937,0,37,1,0,1,1,0,10.312415556112882,4830.792980121712
control,0,11.82377172166354,0,42,0,1,1,0,0,12.95231853393622,6462.623251351532
treatment1,0,17.609340800164816,0,35,2,0,1,1,0,12.702919906628683,5481.11675463758
treatment1,0,17.45881321011242,0,42,0,0,0,0,1,12.705361002918705,5279.047225035331
control,1,7.255254074724403,1,44,0,0,0,0,0,12.399775001636042,5488.566175466011
treatment1,1,20.83777214267659,0,34,0,0,0,0,0,9.760350448196318,4668.516053231223
control,0,9.695528923548112,1,54,2,1,0,1,0,8.328087091959237,4978.955106668134
treatment1,1,25.169843185682115,1,37,2,0,0,1,0,9.225958781696338,4444.409932190746
control,1,4.957908303200494,0,43,2,1,1,0,1,9.985482678334716,6116.473035247561
control,1,8.469255435664929,0,34,1,0,0,0,0,15.604687311691581,6406.843827408387
control,0,8.076450000373114,1,40,0,1,0,0,1,13.105341569286512,6374.36641424933
treatment1,1,20.837258013069146,1,38,0,0,1,0,0,6.837943306591389,3448.5034856751527
control,0,6.989420902566228,0,43,3,1,0,0,1,9.457247983737263,5452.823564954472
control,0,9.087788244731396,1,40,0,0,1,1,0,9.480376988842169,4849.270311287051
control,0,8.54096784136873,1,45,0,0,0,0,0,11.661918613176523,5341.58189555645
treatment1,0,29.374541667025092,0,45,0,0,0,0,0,8.246525668140354,3997.012369839033
treatment1,1,17.284287260673842,0,43,3,1,0,0,0,12.769987801790135,6537.058089984119
treatment1,1,26.22451745675075,1,51,0,1,0,0,0,12.386957233065418,7816.0725155109685
treatment1,0,18.726841129373856,0,38,0,1,0,0,0,5.292517853140895,4027.341055908168
control,1,7.006466228918375,1,39,0,1,1,0,1,9.791518452677904,5228.341981431339
treatment1,0,28.12820524073437,1,38,0,1,0,0,0,11.328646429276798,5790.204117883507
control,0,6.8467509624438305,0,30,2,1,0,0,0,13.269956602826847,6033.642537435406
control,1,11.42196142085075,0,39,0,0,1,0,1,4.075193882667369,3458.4212003966277
control,1,7.851308822836694,1,38,2,0,0,0,0,10.497038323757156,5180.672079750122
treatment1,1,21.725481240701136,1,35,1,0,0,0,0,8.199158487286116,2753.891398040962
control,1,11.514373862919523,0,45,1,1,0,0,0,10.818991455318228,5567.023678222241
control,1,4.645507048954199,0,47,2,1,0,1,0,8.922417279391098,4911.959747129321
treatment1,1,27.167321857406915,1,39,2,0,0,1,0,4.843200856275796,3446.6902214941383
treatment1,1,20.377539288807455,0,39,4,0,0,0,0,11.659684805434106,5168.617511666788
treatment1,0,30.55420587690975,0,30,1,1,1,1,1,4.383666492737879,4347.035982840599
treatment1,1,23.444348204892883,1,38,0,1,1,0,0,10.396678791653077,5499.961004246396
treatment1,0,23.232419210137692,1,44,0,1,0,0,0,12.867722700469947,6252.8751250524465
treatment1,1,22.833791940604634,0,42,0,1,0,0,1,9.458163649284785,5146.168917000202
control,0,8.71302780229322,0,39,2,1,0,0,0,7.748639303647844,4925.702950824612
control,1,10.683927140726535,0,44,2,1,1,1,0,8.437469636330597,5578.5369553724995
treatment1,0,21.252450300540627,0,46,0,1,0,0,0,6.954154868067331,4504.69729712529
control,1,2.9812458785337346,0,44,1,1,1,0,1,9.684864563499753,5900.091503907437
treatment1,1,20.74667819439168,1,43,1,1,0,0,0,10.809639180869864,5878.41126971462
treatment1,1,23.883708086799793,1,42,1,1,0,0,1,9.670299330578578,5283.4447903886185
treatment1,1,23.451640748595597,0,45,1,1,1,1,1,12.157993781215588,6240.2348508830755
treatment1,1,21.19164532600601,0,38,1,0,0,1,1,11.946520797065093,5342.5942818179565
treatment1,1,21.33224811367945,0,41,1,1,1,0,0,10.603207213431316,5726.623751219884
treatment1,0,29.62288722115614,1,50,1,0,1,1,1,11.237218066453876,4566.603443583317
treatment1,0,25.993538889121275,1,49,0,1,0,0,0,8.064388470553146,5062.548726028062
control,0,10.276558990009898,0,51,0,0,0,0,0,17.011775136922328,6408.318921326017
control,0,14.088944762359663,1,27,1,0,0,0,1,8.914188557513473,4540.290535206652
treatment1,0,26.05952407641166,0,44,1,0,1,1,0,9.684928744252867,4077.3506542194905
treatment1,1,26.850449832915956,1,40,0,1,0,1,0,9.251065495973007,6028.998225239952
control,0,8.224525411139446,0,38,0,0,0,0,0,14.010133355610288,4691.912350558639
control,0,3.7353838075647334,0,40,0,1,0,0,0,8.163694543445722,6127.162345174856
treatment1,0,31.774675724524386,0,36,1,0,1,0,0,11.162105882158322,4312.727828760458
treatment1,1,26.902567552780233,0,44,1,1,0,0,1,6.842085945267675,4802.741906207934
treatment1,0,31.431539976718437,0,40,1,1,0,0,0,11.528499832889125,6081.828987126845
treatment1,0,16.816759910281778,0,30,3,1,0,1,1,11.686724103306041,5557.300471385851
control,0,6.454972548282544,0,39,1,0,0,0,1,9.334494856579562,4293.698231111007
treatment1,0,21.79114396057526,1,35,0,1,0,0,0,11.524818122181195,5542.721632056341
treatment1,0,21.358664295165394,1,40,0,0,0,1,0,8.90864890317823,4492.938233144991
control,1,6.412838863525637,1,25,0,0,0,0,1,10.67504226820116,2498.024415726419
control,0,1.0780756226322659,0,26,1,0,0,0,1,9.106790486327991,4658.335419849964
control,1,3.8966046367707157,0,30,0,0,0,0,0,8.761141603860871,3541.880290976717
control,0,9.431506663532996,0,33,0,0,0,1,0,14.296793605653237,5689.758094600945
control,0,8.329203208979386,0,35,2,0,1,1,0,8.2903886033413,3542.195596446082
control,0,9.734820953603512,0,49,1,0,0,0,0,9.510715861917689,4558.376559915247
control,0,6.986045298182183,0,36,0,0,1,1,0,9.979296616248003,5041.706387842265
treatment1,1,22.449514047055608,0,32,1,0,1,1,0,8.865358037812419,3260.559399794318
treatment1,0,24.60644559368726,0,40,0,0,0,0,0,11.193571795071895,4904.55852291497
control,0,5.618272289148761,1,34,0,1,1,0,0,9.818325590944509,5916.864646411981
control,1,8.908329373544765,1,39,0,0,0,1,0,9.893335789626338,4408.061929696733
control,1,4.8507425186217406,1,39,2,1,0,0,0,8.311451182854304,4765.453755472837
control,0,8.665800695873275,0,43,0,0,1,0,0,7.677542286988253,4155.2072083751955
control,1,7.8885136623696495,1,35,0,0,1,0,0,12.381822609500814,4883.458618892637
treatment1,1,23.511914606604545,1,43,0,1,1,0,1,9.356032344432272,5243.991404856666
treatment1,1,20.882349515460756,1,45,1,1,1,0,0,9.832330543095265,5802.212471759129
treatment1,1,25.42369561771845,0,35,1,0,0,0,0,12.731298983358935,3961.314662614738
control,0,7.488817988017205,0,32,2,0,0,1,1,9.21929080308058,4604.023782689587
control,0,7.584478640428246,0,44,1,1,0,1,0,10.648254648693651,6090.604980295665
treatment1,0,25.93340543861624,1,51,0,1,1,1,1,8.107076862963957,4712.852473100314
treatment1,0,26.609418918350812,0,33,0,1,0,0,1,6.591196334753403,4346.971879807949
treatment1,1,16.889122881855172,1,44,1,0,0,0,1,10.303335484901492,4680.284128261097
control,1,7.132060736184367,1,49,1,1,1,0,0,13.810672062947448,8076.549733886577
control,1,15.25406003610071,0,38,0,0,1,1,0,12.014100722642135,4622.7272085917975
treatment1,1,25.351496592365937,1,45,0,1,0,0,0,10.816582222217994,5831.153702986794
treatment1,1,28.214649775066395,1,32,1,0,1,0,1,10.960952635253589,4693.03861269658
control,0,3.9309543497498396,0,47,1,1,0,1,0,11.417248903417326,6251.462468267861
control,0,8.074373938772,1,44,0,0,0,1,0,10.621002381936556,5054.670471022467
treatment1,1,25.98065863950858,0,48,1,1,0,0,0,11.750755332872371,7259.487410899236
control,1,9.840569694690425,0,40,0,0,1,0,1,12.013255809858581,5105.035087106792
treatment1,0,25.42159004335485,1,35,0,0,1,0,0,9.758112815772634,4866.322592042557
treatment1,0,27.07559891775625,0,56,0,0,0,1,0,14.020584288774645,4595.625374682347
treatment1,1,20.357250814230643,1,40,3,0,0,0,0,7.789479813619255,3866.9582369880122
control,1,10.280780191590477,1,38,1,0,0,0,0,9.004620512517473,4840.006068581601
treatment1,0,23.00164028662238,1,35,2,1,1,1,0,12.946025807629951,5962.6172185294745
treatment1,0,23.78037577002028,0,39,1,0,0,0,0,12.445442185313553,4908.513301160356
control,0,11.103935728521758,1,51,1,0,0,0,1,10.906429911178666,4954.443226359683
control,0,8.838074109130288,0,51,2,0,0,1,0,11.483907940217232,4974.0795108582915
control,0,10.698441723345837,0,36,2,0,0,1,0,9.518200483045064,4655.631582571744
control,1,12.557040502464364,1,46,0,1,0,1,0,7.932844757334216,5457.653812961524
control,1,5.628042330854846,1,36,2,0,0,0,1,9.90349205710785,3243.374854794631
treatment1,0,29.046532588845054,0,39,1,1,1,0,1,5.027958627533298,4355.899210203667
treatment1,0,26.509925434101795,0,35,2,1,0,1,0,9.935901993143442,5552.672995272262
treatment1,0,25.36769804432267,1,48,4,1,1,0,0,10.135231429814375,5481.782862299091
treatment1,1,18.543193553131786,0,34,0,1,0,0,1,9.681518959729983,6032.601489735861
treatment1,1,18.37217684886801,1,36,1,0,1,0,1,7.15127079155339,4151.827168454257
control,0,5.271583644008463,0,47,1,1,0,1,0,9.659882945159266,5265.205756587464
control,1,3.3303317153318654,1,39,1,1,1,0,0,8.832547472522577,5586.065655380534
treatment1,0,22.187949821813877,0,52,2,0,1,1,0,9.436957714250699,4856.521424538705
control,1,7.248877234035126,0,38,1,1,1,0,0,11.294673918730648,5806.028978217855
treatment1,1,17.603454835805806,0,38,0,0,1,1,1,6.143935587685382,3645.2140217487654
control,0,7.309858019858689,0,55,0,0,1,0,0,9.153700986636405,3467.933544332035
treatment1,1,21.217225123002407,0,30,0,0,0,0,1,5.692777712860929,1638.082258322113
control,1,5.8122185120862895,0,45,0,1,0,0,1,7.830545004976152,5275.12276732272
treatment1,1,17.528629866616253,0,52,1,1,0,0,1,8.172466178980685,6476.079023196064
control,0,6.832918689349859,1,44,2,0,0,0,0,7.30667020443997,3695.0306593309456
control,0,11.400991127626348,1,45,0,0,0,0,0,7.748358210407083,4381.22112431779
treatment1,1,21.46741030210796,0,42,2,1,0,1,0,8.318390016748912,5266.228762933081
treatment1,0,20.761082120365938,0,31,0,1,1,0,0,9.949202854715367,6097.10356091305
treatment1,0,24.717966906977058,0,44,2,1,1,1,0,10.74349619406014,6030.127051212689
treatment1,1,28.20431518424645,1,41,1,1,1,1,0,9.504431203984192,5071.302481192266
control,0,9.76073854238124,1,34,2,1,1,1,0,9.857046015952044,5153.53269867786
treatment1,1,18.40009253631699,0,40,1,1,0,0,0,11.68740704712799,6259.239214991293
control,0,7.208749833230487,0,36,1,1,0,1,0,8.687032798955439,5672.607425521755
control,1,8.148700016663305,1,44,0,1,0,0,1,9.553220418256517,5441.0454235913585
treatment1,0,30.007346932413274,0,43,2,1,1,0,0,9.913056286705192,5604.546378445014
treatment1,1,22.280529990564535,0,43,2,1,0,0,0,9.956156974276645,5743.959053033186
control,0,4.265514591416684,0,34,1,0,0,1,0,9.22481622634688,3829.0467726193824
treatment1,0,19.01408086845883,0,43,1,0,0,1,0,7.968489660442887,4522.5303622390675
treatment1,1,22.279602367033192,1,25,2,0,0,0,1,9.429076976261566,2482.9385120209968
control,1,4.500540264510233,1,41,0,1,0,0,0,9.849028736727854,6668.028613808574
control,0,8.97226189558159,0,47,3,1,0,0,0,7.793030001585843,5520.5398264428095
control,0,10.773696591136257,1,35,0,0,0,1,0,9.318650265813085,3814.5475364610506
treatment1,1,23.162010531892143,1,39,3,0,1,0,0,14.123457790421206,5314.361375337546
control,0,13.33180997520245,0,42,1,0,1,1,1,10.896050144363759,5033.887118607608
control,0,3.6190563542235843,0,50,0,0,0,0,0,6.6138265884701894,2988.134774910593
control,0,8.38062836622381,0,33,0,0,0,0,0,4.591890232943441,3725.512738986025
treatment1,1,16.36716539804617,1,44,2,1,1,1,0,7.7745519296774726,5720.715452437511
treatment1,1,19.479332522892708,1,38,0,0,0,0,0,12.256952657093613,5535.950965464017
treatment1,1,19.47334162724986,1,36,6,0,0,0,0,8.744193054686244,3334.1942079621635
control,1,8.524211084210433,0,29,1,0,1,0,0,10.020332931642812,4528.607410494342
control,1,8.520861823435132,1,43,0,1,1,0,0,9.575535390247886,5578.220408769418
control,1,10.428760038693518,1,39,2,0,1,0,1,13.879893492943559,5628.420090275283
control,1,4.527437367879832,1,34,0,0,0,0,0,8.478806891066798,3051.4281202865654
treatment1,0,24.604346229461633,1,41,2,1,1,1,0,14.01301089142165,6168.816743631233
control,1,5.909570865857541,0,41,2,0,0,1,1,14.204704953218606,5484.997437564456
treatment1,0,25.32416097448674,1,37,2,0,0,0,1,9.235964137295463,4852.310205163011
treatment1,1,28.406206671187327,0,37,0,1,0,1,0,9.99462761594248,5249.526374410579
control,0,8.520405173487537,0,34,1,1,0,0,0,10.56821673687132,5353.234204626988
control,0,10.432884363976585,1,42,2,1,0,0,0,9.474324223206022,5368.584714596862
control,1,6.232599324900363,1,40,0,1,0,0,0,6.890404570930481,4830.062959136069
control,0,13.701443788168605,0,33,0,1,0,0,0,9.842836466966109,5323.801150685619
control,1,6.143587443075793,0,42,1,0,0,1,0,7.392619603501674,4400.205397296106
treatment1,0,17.968541817806585,1,43,1,0,1,0,0,6.727009607213584,4250.679356877498
control,0,8.321228546762386,0,48,0,1,0,0,0,8.176061804396564,4760.095827687954
control,0,9.757753370824707,0,45,1,0,0,1,0,9.738664092611925,4059.349330565687
control,1,7.1602797056001135,0,49,0,1,1,0,0,8.592981780301393,6421.841033143892
control,0,9.147756589085864,1,40,0,1,1,1,0,8.364418568356752,4858.50403848862
control,0,8.65057407014547,1,50,2,1,0,1,0,5.327815095330497,4422.206708639015
control,1,13.146162754990252,1,33,2,0,0,0,0,10.27502167415724,4345.931936569853
control,0,10.916857344723832,1,35,1,1,1,0,1,6.57759564529521,4476.078840803722
treatment1,1,18.0764142211271,1,34,1,0,0,0,0,6.783454432109708,3455.862207746854
treatment1,0,17.38952280620214,1,42,1,1,0,0,0,7.883208446457467,4934.505343294921
