,treatment,target,uplift
603,1,0,0.020000000000000018
181438,1,0,0.08
89564,0,0,0.05
378463,1,0,0.01
297028,1,0,0.04
124538,0,0,0.08
92733,1,0,0.02
393808,0,1,0.050000000000000044
388244,1,0,0.019999999999999997
297496,1,0,0.01
360363,1,1,-0.10999999999999999
346691,1,0,0.01
313487,0,0,0.01
74568,0,0,-0.05000000000000002
310340,0,0,0.010000000000000009
297154,0,1,0.13
57548,0,0,0.01
396119,0,0,0.009999999999999995
165719,1,1,0.16000000000000003
157111,0,0,0.01
261396,1,0,0.0
186852,0,0,0.0
192378,0,0,0.01
43806,0,0,0.95
280318,0,1,0.010000000000000009
5518,1,1,0.96
353155,1,1,0.08999999999999997
40891,1,0,-0.15999999999999998
211700,0,0,0.0
69660,1,1,0.98
387466,0,1,0.16000000000000003
91046,1,1,-0.12
168815,1,1,0.18000000000000005
98192,0,0,0.0
295104,0,0,0.16
262663,0,1,-0.020000000000000018
346199,0,0,0.03
221536,0,1,-0.08999999999999997
145737,0,0,0.04
51215,0,0,0.2
316843,1,0,0.05
332265,0,0,0.01
40599,0,0,0.91
341333,1,0,0.06
161072,1,0,0.0
222594,1,0,0.23999999999999994
54726,0,0,0.16999999999999993
157969,0,0,0.01
214954,0,0,0.96
260566,1,0,0.0
324735,0,0,0.03
358291,1,0,0.0
283682,1,0,0.0
81665,0,0,0.01
361838,0,0,-0.01
82797,0,1,0.06
210873,1,0,0.0
153727,1,0,0.0
336637,0,0,-0.02
219003,1,0,0.0
32249,0,0,0.07
2368,0,0,0.02
60432,1,0,0.01
176732,0,0,0.06
191720,1,0,-0.01
35650,1,0,0.01
32221,1,0,0.01
67330,1,0,0.009999999999999998
65606,1,0,0.01
269229,1,0,-0.040000000000000036
360982,0,1,-0.09999999999999998
150191,0,1,-0.06000000000000005
213814,1,0,0.0
129868,1,1,0.050000000000000044
231818,0,1,0.0
208682,1,0,0.22999999999999998
252953,1,0,-0.020000000000000004
350919,0,0,0.0
269110,1,0,-0.2
35591,0,1,0.020000000000000018
92219,0,1,0.05999999999999994
57503,0,0,0.01
18147,0,0,0.019999999999999997
357956,1,0,-0.01
155608,0,0,0.12
31273,1,0,0.08
112063,1,0,0.04
25184,1,0,0.02
145066,0,0,0.0
284455,0,0,0.01
184127,1,0,0.04
75306,0,0,0.01
292904,1,0,0.04999999999999993
156821,0,0,0.01
25937,0,0,0.02
262028,0,1,-0.1100000000000001
135361,0,0,0.0
81980,0,0,0.01
220853,0,0,0.0
38224,0,0,0.01
306347,0,0,0.96
29462,0,1,-0.07000000000000006
104788,1,0,-0.01
306016,1,0,-0.01
169542,1,1,0.030000000000000027
70877,1,1,1.0
173577,0,0,0.02
186631,0,0,0.0
59224,0,0,0.04
153566,1,0,0.0
67569,0,1,0.019999999999999907
33584,0,0,0.0
254732,1,0,0.0
313209,0,0,-0.01
324553,1,0,-0.01
313533,1,1,0.96
359249,0,0,0.99
126221,1,1,0.10999999999999999
340460,1,1,0.95
218024,1,0,0.02
137484,1,0,0.0
35213,1,0,0.0
222138,0,0,0.01
192736,0,0,0.54
380821,0,0,0.0
346402,0,0,0.13
359525,0,0,0.02
82570,0,1,0.020000000000000018
139475,0,1,-0.010000000000000009
377423,1,1,0.97
21740,1,0,0.0
182999,0,0,0.0
230746,1,0,0.0
383512,1,0,0.02
149564,0,0,-0.01
377065,0,0,0.01
76766,0,0,0.0
110998,0,1,0.040000000000000036
249780,0,1,0.04999999999999999
265597,0,0,0.0
249058,1,1,0.15000000000000002
39407,1,0,0.36
376650,1,0,0.02
346644,1,0,-0.03
117242,1,0,0.0
46412,0,0,0.26
78757,1,0,-0.37999999999999995
77397,0,0,0.03
247899,1,0,0.02
41251,1,0,0.01
240090,0,0,1.0
145101,0,0,0.01
149894,0,0,0.0
137265,1,1,1.0
21142,1,1,0.050000000000000044
319142,1,0,0.01
214638,1,0,0.04
56490,1,0,0.01
332752,1,0,-0.01
323832,0,0,0.01
175997,1,0,-0.01
27988,1,1,0.030000000000000027
235257,1,0,0.049999999999999996
37284,1,0,0.0
214768,1,0,-0.01
120265,1,0,-0.05
378471,1,0,0.09
260612,1,0,-0.01
222181,0,0,0.01
129557,1,0,0.01
274963,1,1,0.84
234357,1,1,-0.04999999999999993
4565,0,0,-0.01
30659,0,0,1.0
226123,0,0,-0.030000000000000027
27985,0,0,0.19999999999999996
86764,1,0,0.04
240840,0,0,0.01
89786,0,0,0.02
265860,1,0,0.0
95037,1,0,0.0
359074,0,0,0.02
386051,1,0,0.2
155470,0,0,0.98
282623,1,0,0.01
253675,1,0,0.02
207848,1,0,0.0
330517,1,1,0.050000000000000044
228358,0,0,0.06
190825,0,1,-0.16999999999999993
381219,1,0,0.02
211451,0,0,-0.02
111997,0,1,-0.010000000000000009
204788,1,0,0.0
279480,1,0,0.0
300357,0,0,0.04
338998,1,1,0.13
93018,1,0,0.01
42621,0,0,-0.01
215841,0,0,-0.02
357733,0,0,0.0
335051,1,0,0.03
249789,1,1,0.030000000000000027
241803,1,0,0.02
203854,0,0,0.01
154885,1,1,1.0
234424,0,0,0.04999999999999993
16850,0,0,0.97
128746,0,0,0.05
211309,0,0,0.49
146582,1,0,0.03
352502,1,0,0.18000000000000002
381927,1,1,0.020000000000000018
336532,0,0,0.02
221700,1,0,0.0
106964,0,0,0.0
141722,1,0,-0.01
206268,0,0,0.0
349113,0,0,0.0
109094,0,0,0.02
298973,0,0,0.02
385148,1,0,-0.01
111893,1,1,-0.040000000000000036
388320,0,1,0.20999999999999996
66123,1,1,0.21999999999999997
233992,1,0,0.0
20237,0,0,0.04
41092,1,0,0.01
104767,0,1,0.010000000000000009
386195,0,0,0.01
251705,1,0,0.02
359617,1,1,0.0
357689,1,1,0.8999999999999999
202130,0,1,-0.19000000000000006
300284,1,0,0.0
310592,0,0,0.01
153908,0,0,0.0
181637,0,0,0.97
297414,1,1,0.08999999999999997
277130,0,0,0.0
312258,0,0,0.01
263232,1,0,0.02
43075,1,1,0.6099999999999999
317217,1,0,0.07
107269,0,0,0.0
299108,1,0,0.0
314969,0,0,0.0
190815,1,0,-0.02
188532,1,0,0.46
239848,0,0,-0.050000000000000044
259508,0,0,0.0
6051,0,0,-0.01
288926,1,0,0.0
112015,0,1,0.12
217205,1,0,0.02
322059,0,0,0.0
60558,0,0,0.16
352526,0,0,0.03
191177,0,0,0.99
394742,1,0,0.0
127726,0,0,0.96
236029,1,0,0.02
341975,1,0,0.17
354957,0,1,0.17000000000000004
37527,1,0,0.0
136231,1,0,0.02
62260,1,0,0.06
215212,1,0,0.01
211576,1,0,0.0
285769,0,0,0.0
279528,0,0,0.0
121210,0,0,0.06
395432,0,0,0.0
326077,1,1,-0.14
12954,0,0,0.06
75261,1,0,0.02
340365,1,1,0.06999999999999995
49392,1,0,0.01
94857,1,1,0.97
45587,0,0,0.07000000000000006
136810,0,0,0.01
295396,1,0,-0.01
271579,0,0,0.0
64058,1,0,0.01
236719,0,0,-0.01
295561,1,1,-0.14
175987,1,1,0.88
102264,0,0,0.01
54564,0,0,-0.01
260545,1,1,0.2799999999999999
234291,1,0,-0.01
111273,1,0,0.04
379733,0,0,0.01
243568,1,0,0.04
34881,0,1,-0.040000000000000036
351852,1,0,0.02
364216,0,0,0.9
13870,0,0,0.02
326820,0,0,0.0
257632,0,0,0.0
327397,1,0,0.0
45285,0,0,0.009999999999999998
50286,1,0,-0.01
224106,1,0,0.01
190387,1,0,0.17
110359,0,0,0.02
260644,0,1,-0.18000000000000005
377398,0,0,-0.01
174320,1,1,0.19000000000000006
219717,0,0,0.95
128133,0,0,0.02
343626,1,0,0.019999999999999997
364742,1,0,0.04
210152,1,0,0.0
205797,1,0,0.08
93759,1,1,0.06000000000000005
238104,0,0,0.0
327486,0,0,0.02
89390,0,1,0.06999999999999995
117059,0,0,0.0
31647,0,0,0.0
283781,1,0,0.03
54435,1,0,0.03
337624,1,1,1.0
380217,0,0,0.98
28596,1,1,0.6799999999999999
261179,1,0,0.0
130516,1,0,0.05
347327,1,0,0.02
26172,1,0,-0.01
303054,1,1,0.020000000000000018
174187,1,0,0.01
81921,1,0,-0.02
243642,1,1,-0.05999999999999994
282708,0,1,0.10000000000000009
238111,0,0,0.12000000000000001
206714,0,1,0.030000000000000027
84620,1,0,-0.13999999999999999
236720,1,0,0.04
30442,1,0,0.18
312175,1,0,0.03
311488,1,0,0.0
379187,1,1,0.9199999999999999
363246,1,1,0.83
93318,0,1,-0.12
172937,1,0,0.02
271803,1,0,0.3
248794,0,0,0.01
47430,1,1,0.039999999999999925
198493,0,0,0.99
252675,0,0,1.0
222487,0,0,0.97
324836,1,0,0.1
143912,1,0,0.010000000000000009
78894,0,0,0.0
62258,0,0,-0.01
300731,1,1,-0.010000000000000009
220447,0,0,0.06999999999999995
384858,0,0,0.0
37184,1,0,0.0
276073,0,1,0.07999999999999996
16670,0,0,0.060000000000000005
53488,0,0,0.0
230998,0,1,0.12
195132,0,0,0.06
349229,1,0,0.05
230905,1,0,0.03
331156,0,0,0.0
229616,0,0,-0.02
39747,0,0,-0.01
392824,1,1,0.18999999999999995
374634,0,0,0.0
310798,1,0,0.02
44500,0,0,-0.01
216341,0,0,0.01
10106,1,0,0.06
268070,1,0,0.0
96825,1,0,0.0
328338,0,1,0.13
149005,1,1,0.20999999999999996
350507,0,0,0.95
175570,0,0,0.04
6018,1,1,0.010000000000000009
206627,0,0,0.04
333103,1,1,-0.08999999999999997
324613,0,0,-0.01
328523,0,0,0.07
102048,1,1,-0.13
173953,1,0,0.0
369513,1,0,0.0
157825,1,0,0.0
123036,0,0,0.0
246982,1,0,0.01
274506,0,0,0.02
228293,0,0,0.98
104223,0,0,0.04
302577,0,0,0.9299999999999999
254842,1,0,0.03
18838,1,0,0.05
177057,1,1,-0.06999999999999995
350914,1,0,-0.01
301109,0,0,0.0
14056,1,0,0.050000000000000044
83853,0,1,-0.04999999999999993
104110,1,1,0.9299999999999999
380459,1,0,0.06999999999999999
71239,1,0,0.040000000000000036
28589,0,0,0.03
135071,0,0,0.99
154445,1,0,-0.01
75934,0,0,0.03
304222,0,0,1.0
276042,0,0,0.01
343695,0,0,0.03
221010,0,0,0.04
141563,1,0,0.0
93453,1,1,0.08999999999999997
377174,0,0,0.01
314623,0,0,0.09000000000000001
1914,1,1,0.17000000000000004
219729,0,0,0.03
308589,1,0,0.1
344634,1,0,0.01
170988,1,0,0.019999999999999997
125512,1,0,0.07
134433,0,0,0.02
207873,1,0,0.0
7185,1,0,0.01
165275,0,0,-0.01
370128,0,0,0.99
4085,1,0,0.01
193940,0,0,0.01
112135,1,0,0.019999999999999997
287629,1,0,0.02
57461,0,1,0.13999999999999996
244396,0,0,0.0
336961,1,0,0.02
4752,1,0,0.0
195420,1,0,0.02
374126,1,1,0.98
122263,1,0,0.07
302098,0,0,0.95
63168,0,1,-0.16999999999999993
367806,0,0,0.01
42404,0,1,0.08999999999999997
119093,0,0,0.09
343869,1,0,0.060000000000000026
102618,1,1,1.0
338040,0,0,1.0
378792,0,0,0.0
357025,1,0,-0.01
91303,0,0,0.17999999999999994
22341,1,0,0.060000000000000005
243714,0,0,0.02
293045,0,0,0.12
292354,1,0,0.02
291006,1,1,0.09000000000000008
352764,1,0,0.020000000000000004
347400,0,0,0.039999999999999994
216566,1,1,0.99
153555,1,1,0.98
114055,1,0,0.04
384176,0,1,-0.01
302097,1,0,0.0
201802,1,0,0.01
117887,1,1,1.0
332932,1,0,0.02
297477,1,1,0.97
334891,0,1,0.040000000000000036
139765,1,0,-0.01
96308,0,0,-0.01
395924,1,0,0.0
183283,1,0,0.0
168145,0,1,-0.05999999999999994
385410,1,1,-0.15000000000000002
212417,0,1,0.09000000000000008
28847,1,1,0.019999999999999907
377178,0,0,-0.039999999999999994
201748,0,0,0.04
238532,1,0,0.02
364029,0,0,0.09999999999999999
361793,0,0,0.019999999999999997
107287,1,0,0.01
269075,1,0,0.02
50309,1,0,0.1
268065,1,0,0.009999999999999981
68068,0,0,0.0
83006,1,0,0.0
3843,1,0,0.0
80927,0,0,0.0
80757,1,0,0.03
264789,0,0,0.0
7433,1,0,0.009999999999999898
8362,0,0,0.05
25242,0,0,0.0
178777,1,0,0.0
179330,1,0,0.01
60607,0,0,0.99
96144,0,1,-0.16999999999999993
210211,1,0,-0.02
49766,1,1,0.97
252701,0,0,0.06
145904,1,1,-0.13
310476,1,0,0.02
215522,0,0,0.06000000000000001
270852,1,0,-0.02
47558,0,0,-0.01
212689,0,1,0.12000000000000002
16218,0,0,0.06999999999999998
125026,1,0,0.08
263711,1,1,-0.09999999999999998
125096,0,1,0.15000000000000002
189595,1,0,0.0
211932,0,0,0.0
347936,1,1,-0.12
32793,1,1,1.0
69657,1,0,0.0
399857,0,0,-0.03
383827,1,0,0.03
259355,1,0,0.01
86696,0,0,-0.14
254759,1,0,0.01
119296,1,0,0.0
136767,0,1,-0.030000000000000027
231464,1,1,-0.040000000000000036
204823,0,0,-0.03
282274,0,1,-0.01
52388,0,0,0.0
29343,0,0,0.019999999999999997
278373,0,1,-0.040000000000000036
128816,1,0,0.03
13579,1,0,0.02
86019,0,0,0.19999999999999998
121913,1,0,0.03
123946,1,0,0.030000000000000002
340400,0,0,0.05
137401,1,1,-0.06000000000000005
258729,1,1,0.7
85885,0,0,0.17
115421,1,0,-0.030000000000000002
343447,1,1,1.0
295483,0,0,0.0
344632,1,1,0.99
157264,1,0,0.0
173246,0,1,0.019999999999999907
283458,1,0,0.0
246172,1,1,0.020000000000000018
195353,1,0,0.0
112207,0,1,0.10999999999999999
98260,0,0,0.06
384393,1,0,0.0
390735,0,0,0.0
266092,1,0,-0.02
195314,1,0,0.02
240915,0,0,0.0
57220,0,0,0.01
145642,1,0,0.01
207713,0,1,-0.039999999999999925
294880,1,1,0.98
224347,1,1,0.12
149953,0,1,0.0
38895,1,1,0.10999999999999999
380748,1,1,-0.04999999999999999
60009,0,0,-0.01
264263,0,0,0.0
26293,0,1,0.09999999999999998
157498,0,0,0.99
101644,1,0,0.0
283256,0,0,0.46
137846,1,1,0.56
125364,0,1,-0.06999999999999995
55837,1,0,0.02
25306,1,0,0.03
77331,0,0,0.01
367901,0,1,0.029999999999999916
283499,1,0,0.06
293708,0,0,0.08
47037,0,0,-0.14
59822,1,0,0.01
14705,1,1,-0.030000000000000027
19078,1,0,0.01
170548,0,0,0.0
56269,1,0,0.03
66737,0,0,0.04
10229,0,0,0.02
73598,0,0,0.11
251665,0,0,0.03
62204,0,1,0.010000000000000009
241640,0,0,0.98
388838,0,1,-0.06999999999999995
193772,0,0,0.0
270587,0,0,-0.06000000000000005
151438,1,0,-0.01
83449,1,0,0.04
209882,0,0,0.01
357790,1,0,0.0
51192,0,1,0.06
393977,0,0,0.009999999999999998
121457,0,0,0.0
346672,1,0,0.02
232483,0,1,-0.08000000000000002
309755,0,0,-0.009999999999999998
31949,0,1,0.09000000000000008
48533,1,0,0.0
368673,1,0,0.03
374608,1,0,-0.06999999999999998
73300,1,0,0.0
218357,1,0,0.02
180793,0,0,0.01
291363,1,1,0.98
251781,1,1,1.0
346638,1,0,-0.019999999999999997
317018,1,0,0.01
172265,0,0,0.06
65497,0,0,0.03
109597,1,0,0.02
388652,0,0,0.0
388817,1,0,0.08
64070,0,0,0.0
353517,0,0,-0.009999999999999995
60140,1,0,-0.02
93315,0,0,0.0
348457,0,0,0.04
195988,1,0,0.02
385204,0,1,0.19999999999999996
24304,0,0,0.04
375464,1,0,0.0
249825,1,0,0.1
64700,0,0,0.01
115652,1,0,0.0
389093,0,0,0.050000000000000044
36836,0,0,0.98
66259,0,0,0.01
252030,1,1,0.0
200589,0,0,0.009999999999999998
153011,0,0,0.0
35201,0,0,0.01
103485,0,0,0.04
52416,1,0,-0.01
198479,1,1,0.050000000000000044
46070,1,1,-0.040000000000000036
54421,0,0,0.15000000000000002
378210,0,0,0.0
18387,1,0,0.08999999999999997
5983,0,0,0.01
80432,0,1,-0.030000000000000027
42868,1,0,0.0
350973,1,0,0.0
365422,1,1,0.040000000000000036
336527,1,1,1.0
195357,1,1,1.0
517,0,0,0.07
321430,0,1,0.10999999999999999
293111,0,0,0.25
240818,1,0,-0.1
17434,0,0,0.0
200800,1,0,0.03
264283,0,1,0.010000000000000009
230494,0,0,0.06
244428,0,0,0.0
173987,1,0,0.05
303637,0,0,1.0
93792,0,1,0.15000000000000002
290548,0,0,0.0
194452,0,0,0.01
210908,0,0,0.0
331143,0,0,0.06
257062,1,0,0.12
331108,0,0,0.030000000000000002
57356,0,0,-0.04
47118,1,1,-0.030000000000000027
351313,1,0,0.01
363762,0,0,0.01
379054,0,1,0.030000000000000027
319286,0,0,-0.02
348045,1,0,0.0
119357,1,0,0.03
94615,1,0,0.01
243657,0,0,0.06999999999999995
99260,0,0,0.03
343938,0,0,0.01
140011,1,0,0.08000000000000002
341049,1,0,0.01
345563,1,0,0.04
58106,0,0,0.01
76415,0,0,0.02
34535,0,0,0.98
357695,0,0,0.04
384124,1,1,0.99
297943,1,0,0.0
73838,1,0,0.0
200928,0,0,0.0
49920,0,0,0.0
128213,0,0,0.1
328148,0,0,0.01
111741,0,1,-0.020000000000000018
244640,1,0,-0.01
214286,0,0,0.98
70675,1,0,0.04
338953,0,0,-0.01
92781,0,0,0.01
148069,0,0,0.02
1819,1,0,-0.040000000000000036
42481,0,0,0.02
298769,1,0,0.12
57151,1,1,0.0
56961,1,0,0.09
266759,0,0,0.02
129476,1,0,0.21999999999999997
77979,1,1,0.87
212967,0,1,0.07
128107,0,0,0.01
136657,1,0,0.02
85029,1,0,0.07
364684,1,0,0.0
233716,0,0,1.0
220513,0,1,0.019999999999999907
109849,1,0,0.0
234552,0,0,0.01
14634,0,0,0.01
44521,0,0,-0.01
220395,0,0,-0.01
21442,0,0,0.02
3029,0,0,0.0
340580,1,0,-0.019999999999999997
21800,0,0,0.14
130453,0,0,0.01
245056,0,0,-0.02
337883,1,0,-0.01
368829,0,0,0.01
4866,1,0,-0.01
234738,1,0,0.0
80637,1,0,0.0
22278,0,0,-0.07
354783,1,1,0.039999999999999925
74675,0,0,-0.010000000000000002
27076,1,0,0.0
131967,0,0,0.15
267132,1,0,-0.009999999999999998
143371,0,0,0.01
284061,1,0,0.13
56416,0,0,0.0
43547,0,0,0.0
305293,0,0,0.05
131744,0,0,0.07
201089,0,0,-0.01
384401,1,0,-0.08000000000000002
64969,1,0,0.02
237359,1,0,0.0
177815,1,0,-0.01
95868,1,0,0.0
199657,0,1,-0.12
200411,0,0,0.019999999999999907
44573,1,0,-0.01
294275,0,0,0.020000000000000018
65113,0,0,0.0
347197,1,0,0.04000000000000001
274901,1,0,0.01
317781,1,0,0.019999999999999997
170694,1,0,-0.01
266540,1,0,-0.02
231903,0,0,0.0
195800,0,0,0.0
98468,1,0,0.01
48623,1,0,0.11
110068,0,0,0.98
22890,1,0,-0.04999999999999993
344738,1,1,-0.18999999999999995
176848,0,0,0.050000000000000044
223671,0,1,0.10999999999999999
59517,0,0,-0.01
305637,1,1,0.97
59960,0,1,-0.05999999999999994
167750,1,0,0.07
88262,1,1,0.019999999999999997
111553,0,0,0.03
43908,0,0,0.02
191332,1,1,-0.020000000000000018
314315,1,0,0.01
21899,1,0,0.019999999999999997
316653,0,0,0.02
378949,0,0,-0.19000000000000006
393376,1,0,0.02
216215,1,1,0.12
78911,1,0,0.02
9002,1,0,0.0
12604,0,0,-0.03
347163,0,0,0.0
97968,1,1,-0.09999999999999998
192601,1,0,0.02
55763,0,0,0.02
181390,1,1,-0.010000000000000009
191808,1,0,0.04
186086,0,0,0.0
19266,0,0,0.02
132491,1,0,0.0
90116,1,0,-0.01
137909,0,0,0.0
165533,0,0,0.0
257642,0,0,-0.01
266852,0,0,0.01
233998,1,0,0.0
115181,0,0,0.03
167063,0,1,0.010000000000000009
152558,0,0,-0.050000000000000044
18967,0,0,0.0
27066,1,0,0.2
81862,1,0,0.0
223362,0,1,0.20999999999999996
200162,1,1,0.82
359342,0,0,0.16
96864,1,0,0.0
58466,0,0,0.02
170643,1,0,0.0
331545,0,0,-0.01
292829,1,0,0.0
260963,0,0,-0.13
369533,1,0,0.01
286374,1,0,0.05
90072,0,0,0.02
212672,1,0,0.02
335542,1,0,0.0
204539,0,0,-0.01
381091,0,0,0.96
252998,0,0,0.0
284519,0,0,-0.02
164946,1,1,0.039999999999999925
140990,1,0,0.0
246042,1,0,-0.020000000000000004
287892,1,0,0.01
315476,0,0,0.12
94287,0,0,0.0
178489,0,0,0.16999999999999993
136844,1,0,0.06
236593,1,1,0.27
321758,1,1,0.020000000000000018
345435,1,0,0.0
232322,1,0,0.03
251014,0,0,0.0
43597,0,0,0.01
9771,0,0,0.03
337848,1,0,-0.25
231951,0,0,0.06
112530,0,0,0.02
270866,1,0,0.07
23952,0,1,-0.10000000000000009
20073,1,0,0.0
273102,1,0,0.04
311003,1,0,0.03
366427,1,1,0.95
280867,0,0,0.01
114393,0,0,0.02
304007,0,0,-0.01
304027,0,0,0.01
12789,1,0,0.01
144485,1,0,0.030000000000000027
100266,1,0,0.01
340639,1,0,0.01
17967,1,1,-0.050000000000000044
185646,0,1,0.010000000000000009
293336,0,0,0.02
348238,1,0,0.0
101099,0,0,-0.010000000000000002
21655,1,1,-0.12
141864,1,0,0.01
358150,0,0,0.01
141364,0,0,0.99
274948,0,0,0.0
95167,0,0,0.08
39589,0,0,0.07
102530,0,0,0.0
308358,1,0,-0.03
303777,1,1,0.08999999999999997
164233,0,0,0.039999999999999994
111888,0,0,0.03
29945,0,1,-0.09000000000000008
103884,0,0,-0.12
199030,0,0,0.01
96034,0,0,0.04
146732,1,0,0.0
138298,1,0,0.0
175408,0,0,0.03
118069,1,0,0.03
203638,1,0,0.13
211431,0,0,0.01
292542,0,1,-0.08000000000000007
233600,0,0,0.0
171447,1,1,1.0
293179,0,0,0.0
284985,0,0,0.0
10775,0,1,0.26
52475,1,1,-0.020000000000000018
118628,0,1,-0.08999999999999997
348912,1,0,0.02
40463,1,0,0.09
392455,1,0,0.0
325322,1,1,0.12
207903,1,0,0.04
343418,0,0,0.019999999999999997
125538,0,0,0.0
339093,0,0,1.0
377141,1,1,0.09999999999999998
253496,1,0,0.019999999999999997
185365,1,1,-0.010000000000000009
181227,0,0,0.020000000000000004
242304,1,0,0.009999999999999998
171048,1,0,0.01
226750,0,0,0.01
6491,0,0,0.020000000000000004
217706,0,0,-0.01
356258,0,0,0.0
174818,0,0,0.0
269211,1,0,0.0
39543,1,1,0.030000000000000027
384475,0,0,0.01
223151,1,1,1.0
293472,1,0,0.0
101718,1,0,0.29
35978,0,0,0.04
288017,0,0,0.030000000000000002
9760,0,1,0.06999999999999995
300227,0,0,0.0
208891,1,0,0.02
366470,1,0,0.0
124529,1,0,0.0
377830,1,1,0.99
139931,1,1,0.09999999999999998
136130,1,0,0.45
12235,1,0,0.03
291491,0,0,0.02
68569,0,0,0.8
363511,1,1,1.0
16572,1,0,0.09
35557,1,0,0.019999999999999997
131116,1,0,0.41
128428,0,0,1.0
388209,1,0,0.019999999999999997
138475,0,1,-0.10999999999999999
136982,1,1,0.99
320151,0,1,0.030000000000000027
227132,0,0,0.02
344099,0,0,0.88
397221,0,0,0.14
344876,0,0,-0.02
397522,1,0,0.020000000000000018
325564,0,0,0.94
99283,1,0,0.03
238924,0,0,-0.03
93855,1,0,0.0
284500,1,0,0.01
261441,0,0,0.02
127966,1,1,0.0
306216,0,1,-0.09999999999999998
27312,0,0,1.0
202593,0,0,0.0
318243,1,0,0.010000000000000002
16178,1,0,0.01
260713,0,0,0.0
169583,1,0,0.0
25714,1,1,0.99
259654,1,1,0.99
321637,1,0,0.08
192784,0,0,0.02
343438,0,0,-0.01
378965,0,0,0.02
56432,1,0,-0.06
43517,0,0,0.89
371271,1,0,0.01
57850,0,1,-0.08000000000000007
266257,0,0,-0.010000000000000009
215424,1,0,0.03
30644,0,0,0.01
368508,1,0,0.06
73241,1,1,-0.020000000000000018
346789,0,0,-0.04
212910,0,0,0.0
318794,1,0,-0.06
172418,1,1,0.1100000000000001
134663,0,0,0.02
73676,1,0,0.07
62053,1,0,0.0
278510,0,1,-0.15000000000000002
283218,1,0,0.0
140001,1,1,0.95
134435,0,0,0.02
214909,0,0,0.01
97221,0,0,0.0
59840,1,1,0.010000000000000009
305462,0,0,0.02
300342,0,0,-0.010000000000000009
44468,1,1,0.99
21561,1,0,0.019999999999999997
135487,1,0,-0.01
87977,0,0,0.03
132768,1,0,-0.01
213887,0,0,0.039999999999999994
142427,1,0,0.02
234017,0,0,-0.03
13129,1,0,0.0
99949,0,0,0.03
214546,0,0,0.0
250259,0,0,0.12
293442,0,1,0.12
355294,0,1,0.06000000000000005
368247,1,0,0.0
9303,0,1,-0.06999999999999995
374036,1,0,0.0
223253,1,1,-0.09999999999999998
332393,0,0,0.94
362259,0,0,-0.01
361656,0,1,-0.040000000000000036
19124,0,0,0.02
260004,0,0,1.0
153975,0,1,0.21999999999999997
299641,0,0,-0.01
129062,0,0,0.06
269947,0,0,0.0
184541,0,0,0.01
327732,0,1,0.14
328607,0,0,-0.03
285457,1,0,0.03
326542,1,0,0.09
219783,0,0,0.01
342106,1,1,1.0
383436,1,0,0.03
215747,1,0,0.020000000000000018
130073,1,0,-0.019999999999999997
235689,1,0,0.04999999999999999
283086,0,0,-0.01
368151,1,0,0.03
372066,0,0,0.01
64109,1,1,0.98
339958,0,1,0.010000000000000009
366444,1,1,0.15000000000000002
342831,1,0,0.02
317834,0,0,-0.04999999999999999
284639,1,1,-0.08999999999999997
257787,1,1,-0.10999999999999999
101587,1,1,0.030000000000000027
43480,1,1,0.37
347428,0,1,0.05999999999999994
136531,1,1,0.98
113945,1,0,0.01
84339,0,0,0.01
65319,1,1,0.10999999999999999
232765,1,0,0.04
380097,1,0,0.03
287242,1,0,-0.01
56056,0,0,0.1
331285,1,1,0.07999999999999996
185985,1,1,0.98
98173,1,0,-0.01
377995,0,0,0.0
239693,0,0,0.02
166764,0,1,0.09999999999999998
121734,0,0,-0.04999999999999999
194897,1,0,0.0
70161,0,1,0.010000000000000009
349105,1,1,0.06000000000000005
83,1,0,0.01
40901,0,1,0.04999999999999993
316125,0,0,0.01
157277,1,0,-0.03
196746,1,0,0.01
19043,0,0,0.98
322949,0,0,0.04
292189,1,1,-0.08000000000000007
278321,0,0,0.99
13706,0,0,-0.01
4052,0,0,-0.039999999999999925
16166,1,0,-0.019999999999999997
172003,0,0,0.010000000000000009
356530,1,0,-0.21999999999999997
121108,0,0,0.98
393131,0,0,0.01
224603,1,1,-0.08999999999999997
194458,0,0,0.12
45257,1,1,0.029999999999999916
100392,1,0,0.02
188238,0,0,0.0
153419,0,0,0.01
295566,0,0,0.0
303104,1,0,0.04
87724,1,0,0.19
89939,0,0,0.07
135068,0,0,0.04
266006,1,1,-0.040000000000000036
341928,0,0,0.060000000000000005
387156,0,0,-0.03
187456,1,1,0.04
141544,0,0,0.0
121338,0,0,0.0
117660,1,0,-0.02
69432,1,0,0.01
36203,1,0,0.0
72156,1,0,0.01
324165,1,0,0.01
196811,1,0,0.02
168388,1,0,0.02
126377,1,0,0.0
202798,1,0,0.03
307233,0,0,-0.019999999999999997
294591,1,0,0.019999999999999997
315965,0,0,0.98
132552,0,0,0.03999999999999998
70452,1,0,0.01
156924,0,0,0.060000000000000005
248323,0,0,-0.01
399359,0,0,0.0
173528,1,1,-0.04999999999999993
367902,1,0,-0.01
225574,0,0,0.01
200902,0,1,-0.08000000000000007
26958,0,0,0.0
36634,1,0,0.01
80621,0,1,0.18000000000000005
210634,0,0,0.88
102203,1,0,0.06
200521,1,0,0.01999999999999999
364349,1,0,0.02
149070,0,1,0.03
140419,0,0,0.0
305346,0,1,0.10999999999999999
260231,0,0,0.15
